Category: All categories

Month,401k: (United States)
2004-01,55
2004-02,43
2004-03,44
2004-04,41
2004-05,34
2004-06,42
2004-07,43
2004-08,39
2004-09,43
2004-10,46
2004-11,48
2004-12,56
2005-01,59
2005-02,54
2005-03,49
2005-04,44
2005-05,41
2005-06,47
2005-07,51
2005-08,49
2005-09,45
2005-10,48
2005-11,55
2005-12,62
2006-01,72
2006-02,58
2006-03,54
2006-04,53
2006-05,46
2006-06,47
2006-07,48
2006-08,51
2006-09,51
2006-10,56
2006-11,56
2006-12,67
2007-01,71
2007-02,60
2007-03,56
2007-04,57
2007-05,51
2007-06,55
2007-07,59
2007-08,53
2007-09,56
2007-10,65
2007-11,58
2007-12,63
2008-01,71
2008-02,53
2008-03,55
2008-04,54
2008-05,47
2008-06,49
2008-07,53
2008-08,47
2008-09,69
2008-10,88
2008-11,67
2008-12,61
2009-01,66
2009-02,57
2009-03,59
2009-04,54
2009-05,46
2009-06,51
2009-07,54
2009-08,56
2009-09,55
2009-10,60
2009-11,55
2009-12,60
2010-01,69
2010-02,57
2010-03,61
2010-04,64
2010-05,53
2010-06,52
2010-07,51
2010-08,52
2010-09,51
2010-10,61
2010-11,54
2010-12,61
2011-01,77
2011-02,68
2011-03,63
2011-04,64
2011-05,54
2011-06,56
2011-07,61
2011-08,66
2011-09,52
2011-10,54
2011-11,49
2011-12,54
2012-01,67
2012-02,63
2012-03,58
2012-04,54
2012-05,48
2012-06,53
2012-07,52
2012-08,53
2012-09,55
2012-10,58
2012-11,58
2012-12,63
2013-01,78
2013-02,68
2013-03,67
2013-04,67
2013-05,63
2013-06,57
2013-07,62
2013-08,60
2013-09,59
2013-10,70
2013-11,70
2013-12,67
2014-01,79
2014-02,72
2014-03,70
2014-04,70
2014-05,62
2014-06,66
2014-07,72
2014-08,67
2014-09,67
2014-10,68
2014-11,70
2014-12,75
2015-01,82
2015-02,77
2015-03,74
2015-04,76
2015-05,65
2015-06,71
2015-07,73
2015-08,75
2015-09,62
2015-10,68
2015-11,66
2015-12,70
2016-01,72
2016-02,65
2016-03,68
2016-04,64
2016-05,52
2016-06,63
2016-07,64
2016-08,61
2016-09,57
2016-10,60
2016-11,66
2016-12,67
2017-01,79
2017-02,75
2017-03,78
2017-04,74
2017-05,66
2017-06,64
2017-07,70
2017-08,72
2017-09,68
2017-10,85
2017-11,76
2017-12,80
2018-01,100
2018-02,86
2018-03,75
2018-04,73
2018-05,66
2018-06,73
2018-07,77
2018-08,80
2018-09,74
2018-10,78
2018-11,70
