Category: All categories

Month,discounts: (United States)
2004-01,70
2004-02,64
2004-03,64
2004-04,62
2004-05,64
2004-06,72
2004-07,83
2004-08,75
2004-09,56
2004-10,54
2004-11,57
2004-12,61
2005-01,63
2005-02,61
2005-03,61
2005-04,58
2005-05,60
2005-06,76
2005-07,81
2005-08,72
2005-09,50
2005-10,51
2005-11,59
2005-12,62
2006-01,61
2006-02,56
2006-03,56
2006-04,53
2006-05,56
2006-06,70
2006-07,77
2006-08,67
2006-09,51
2006-10,50
2006-11,58
2006-12,60
2007-01,61
2007-02,57
2007-03,57
2007-04,54
2007-05,62
2007-06,73
2007-07,77
2007-08,72
2007-09,57
2007-10,54
2007-11,60
2007-12,65
2008-01,60
2008-02,59
2008-03,62
2008-04,59
2008-05,68
2008-06,78
2008-07,85
2008-08,77
2008-09,59
2008-10,61
2008-11,69
2008-12,77
2009-01,76
2009-02,75
2009-03,76
2009-04,69
2009-05,75
2009-06,91
2009-07,100
2009-08,90
2009-09,67
2009-10,66
2009-11,68
2009-12,74
2010-01,69
2010-02,68
2010-03,69
2010-04,66
2010-05,69
2010-06,85
2010-07,84
2010-08,75
2010-09,58
2010-10,57
2010-11,60
2010-12,60
2011-01,67
2011-02,66
2011-03,67
2011-04,67
2011-05,72
2011-06,84
2011-07,91
2011-08,77
2011-09,62
2011-10,66
2011-11,66
2011-12,63
2012-01,61
2012-02,59
2012-03,61
2012-04,57
2012-05,61
2012-06,72
2012-07,80
2012-08,72
2012-09,57
2012-10,55
2012-11,55
2012-12,52
2013-01,53
2013-02,52
2013-03,56
2013-04,52
2013-05,59
2013-06,67
2013-07,75
2013-08,69
2013-09,54
2013-10,59
2013-11,60
2013-12,55
2014-01,55
2014-02,53
2014-03,55
2014-04,54
2014-05,58
2014-06,67
2014-07,72
2014-08,63
2014-09,53
2014-10,52
2014-11,55
2014-12,54
2015-01,51
2015-02,49
2015-03,51
2015-04,49
2015-05,53
2015-06,68
2015-07,75
2015-08,66
2015-09,54
2015-10,52
2015-11,54
2015-12,51
2016-01,49
2016-02,51
2016-03,53
2016-04,52
2016-05,54
2016-06,63
2016-07,68
2016-08,58
2016-09,51
2016-10,51
2016-11,52
2016-12,51
2017-01,50
2017-02,49
2017-03,52
2017-04,52
2017-05,56
2017-06,61
2017-07,66
2017-08,57
2017-09,49
2017-10,52
2017-11,52
2017-12,49
2018-01,49
2018-02,52
2018-03,54
2018-04,50
2018-05,53
2018-06,60
2018-07,66
2018-08,58
2018-09,48
2018-10,50
2018-11,57
