Category: All categories

Month,inflation: (United States)
2004-01,78
2004-02,87
2004-03,85
2004-04,97
2004-05,94
2004-06,82
2004-07,68
2004-08,61
2004-09,76
2004-10,81
2004-11,85
2004-12,84
2005-01,76
2005-02,80
2005-03,84
2005-04,93
2005-05,78
2005-06,67
2005-07,59
2005-08,64
2005-09,78
2005-10,91
2005-11,87
2005-12,78
2006-01,72
2006-02,74
2006-03,78
2006-04,90
2006-05,82
2006-06,76
2006-07,59
2006-08,58
2006-09,66
2006-10,70
2006-11,77
2006-12,71
2007-01,68
2007-02,76
2007-03,68
2007-04,77
2007-05,76
2007-06,64
2007-07,58
2007-08,55
2007-09,71
2007-10,77
2007-11,82
2007-12,75
2008-01,82
2008-02,89
2008-03,94
2008-04,100
2008-05,90
2008-06,88
2008-07,82
2008-08,69
2008-09,82
2008-10,94
2008-11,82
2008-12,74
2009-01,69
2009-02,85
2009-03,87
2009-04,81
2009-05,72
2009-06,68
2009-07,58
2009-08,56
2009-09,63
2009-10,72
2009-11,71
2009-12,68
2010-01,65
2010-02,73
2010-03,73
2010-04,74
2010-05,66
2010-06,53
2010-07,49
2010-08,47
2010-09,57
2010-10,66
2010-11,82
2010-12,64
2011-01,69
2011-02,81
2011-03,76
2011-04,90
2011-05,73
2011-06,61
2011-07,56
2011-08,61
2011-09,63
2011-10,68
2011-11,69
2011-12,59
2012-01,58
2012-02,68
2012-03,67
2012-04,68
2012-05,65
2012-06,52
2012-07,48
2012-08,47
2012-09,65
2012-10,66
2012-11,65
2012-12,60
2013-01,61
2013-02,72
2013-03,65
2013-04,73
2013-05,64
2013-06,51
2013-07,50
2013-08,47
2013-09,61
2013-10,69
2013-11,70
2013-12,66
2014-01,62
2014-02,72
2014-03,74
2014-04,76
2014-05,75
2014-06,60
2014-07,56
2014-08,54
2014-09,70
2014-10,74
2014-11,71
2014-12,70
2015-01,75
2015-02,74
2015-03,76
2015-04,82
2015-05,76
2015-06,58
2015-07,59
2015-08,58
2015-09,73
2015-10,78
2015-11,77
2015-12,78
2016-01,63
2016-02,76
2016-03,72
2016-04,81
2016-05,70
2016-06,52
2016-07,50
2016-08,49
2016-09,62
2016-10,68
2016-11,74
2016-12,70
2017-01,66
2017-02,75
2017-03,77
2017-04,78
2017-05,72
2017-06,55
2017-07,52
2017-08,49
2017-09,62
2017-10,72
2017-11,75
2017-12,73
2018-01,66
2018-02,91
2018-03,77
2018-04,81
2018-05,74
2018-06,58
2018-07,58
2018-08,62
2018-09,71
2018-10,79
2018-11,76
