Category: All categories

Month,investing: (United States)
2004-01,100
2004-02,75
2004-03,82
2004-04,76
2004-05,68
2004-06,67
2004-07,73
2004-08,68
2004-09,67
2004-10,64
2004-11,73
2004-12,79
2005-01,89
2005-02,79
2005-03,83
2005-04,72
2005-05,69
2005-06,74
2005-07,75
2005-08,72
2005-09,62
2005-10,65
2005-11,67
2005-12,69
2006-01,80
2006-02,80
2006-03,77
2006-04,79
2006-05,73
2006-06,62
2006-07,66
2006-08,62
2006-09,56
2006-10,63
2006-11,62
2006-12,63
2007-01,72
2007-02,70
2007-03,63
2007-04,63
2007-05,62
2007-06,61
2007-07,66
2007-08,57
2007-09,60
2007-10,62
2007-11,59
2007-12,56
2008-01,69
2008-02,59
2008-03,63
2008-04,61
2008-05,54
2008-06,55
2008-07,54
2008-08,43
2008-09,52
2008-10,57
2008-11,47
2008-12,42
2009-01,42
2009-02,44
2009-03,46
2009-04,38
2009-05,35
2009-06,36
2009-07,36
2009-08,36
2009-09,38
2009-10,41
2009-11,39
2009-12,37
2010-01,41
2010-02,39
2010-03,40
2010-04,42
2010-05,39
2010-06,36
2010-07,31
2010-08,32
2010-09,33
2010-10,36
2010-11,36
2010-12,36
2011-01,45
2011-02,43
2011-03,40
2011-04,42
2011-05,35
2011-06,35
2011-07,35
2011-08,36
2011-09,34
2011-10,33
2011-11,32
2011-12,30
2012-01,36
2012-02,37
2012-03,34
2012-04,33
2012-05,34
2012-06,31
2012-07,29
2012-08,30
2012-09,33
2012-10,32
2012-11,30
2012-12,30
2013-01,34
2013-02,35
2013-03,36
2013-04,36
2013-05,34
2013-06,30
2013-07,32
2013-08,32
2013-09,36
2013-10,38
2013-11,39
2013-12,36
2014-01,43
2014-02,41
2014-03,40
2014-04,40
2014-05,36
2014-06,36
2014-07,37
2014-08,35
2014-09,39
2014-10,39
2014-11,38
2014-12,42
2015-01,45
2015-02,44
2015-03,45
2015-04,46
2015-05,42
2015-06,41
2015-07,44
2015-08,44
2015-09,40
2015-10,41
2015-11,42
2015-12,42
2016-01,47
2016-02,46
2016-03,44
2016-04,46
2016-05,43
2016-06,40
2016-07,39
2016-08,38
2016-09,38
2016-10,41
2016-11,44
2016-12,45
2017-01,52
2017-02,53
2017-03,53
2017-04,52
2017-05,51
2017-06,48
2017-07,48
2017-08,47
2017-09,48
2017-10,53
2017-11,57
2017-12,67
2018-01,67
2018-02,59
2018-03,52
2018-04,54
2018-05,52
2018-06,49
2018-07,51
2018-08,54
2018-09,53
2018-10,52
2018-11,45
