Category: All categories

Month,loans: (United States)
2004-01,69
2004-02,63
2004-03,71
2004-04,70
2004-05,70
2004-06,79
2004-07,83
2004-08,82
2004-09,70
2004-10,64
2004-11,60
2004-12,60
2005-01,71
2005-02,67
2005-03,68
2005-04,72
2005-05,72
2005-06,100
2005-07,85
2005-08,83
2005-09,66
2005-10,61
2005-11,59
2005-12,58
2006-01,69
2006-02,63
2006-03,69
2006-04,71
2006-05,74
2006-06,94
2006-07,87
2006-08,84
2006-09,65
2006-10,65
2006-11,63
2006-12,62
2007-01,75
2007-02,71
2007-03,73
2007-04,78
2007-05,78
2007-06,86
2007-07,95
2007-08,98
2007-09,75
2007-10,68
2007-11,67
2007-12,66
2008-01,81
2008-02,70
2008-03,72
2008-04,75
2008-05,72
2008-06,75
2008-07,84
2008-08,80
2008-09,75
2008-10,68
2008-11,60
2008-12,67
2009-01,77
2009-02,70
2009-03,75
2009-04,73
2009-05,70
2009-06,77
2009-07,84
2009-08,84
2009-09,68
2009-10,62
2009-11,62
2009-12,61
2010-01,67
2010-02,59
2010-03,64
2010-04,63
2010-05,61
2010-06,66
2010-07,66
2010-08,68
2010-09,57
2010-10,53
2010-11,54
2010-12,52
2011-01,68
2011-02,59
2011-03,57
2011-04,61
2011-05,62
2011-06,67
2011-07,73
2011-08,76
2011-09,67
2011-10,70
2011-11,61
2011-12,58
2012-01,67
2012-02,60
2012-03,60
2012-04,63
2012-05,63
2012-06,69
2012-07,72
2012-08,71
2012-09,62
2012-10,59
2012-11,57
2012-12,55
2013-01,64
2013-02,56
2013-03,55
2013-04,60
2013-05,63
2013-06,65
2013-07,72
2013-08,72
2013-09,58
2013-10,58
2013-11,54
2013-12,55
2014-01,61
2014-02,53
2014-03,62
2014-04,58
2014-05,57
2014-06,65
2014-07,66
2014-08,64
2014-09,56
2014-10,53
2014-11,52
2014-12,53
2015-01,56
2015-02,50
2015-03,54
2015-04,57
2015-05,58
2015-06,65
2015-07,73
2015-08,71
2015-09,58
2015-10,54
2015-11,54
2015-12,55
2016-01,61
2016-02,56
2016-03,55
2016-04,60
2016-05,62
2016-06,68
2016-07,66
2016-08,68
2016-09,60
2016-10,57
2016-11,57
2016-12,58
2017-01,61
2017-02,57
2017-03,55
2017-04,59
2017-05,62
2017-06,68
2017-07,71
2017-08,68
2017-09,62
2017-10,61
2017-11,57
2017-12,57
2018-01,59
2018-02,56
2018-03,54
2018-04,56
2018-05,59
2018-06,63
2018-07,67
2018-08,66
2018-09,54
2018-10,55
2018-11,51
