Category: All categories

Month,mercedes: (United States)
2004-01,70
2004-02,69
2004-03,70
2004-04,74
2004-05,75
2004-06,75
2004-07,78
2004-08,75
2004-09,70
2004-10,71
2004-11,64
2004-12,69
2005-01,70
2005-02,69
2005-03,71
2005-04,72
2005-05,67
2005-06,74
2005-07,77
2005-08,75
2005-09,70
2005-10,69
2005-11,64
2005-12,66
2006-01,68
2006-02,65
2006-03,65
2006-04,69
2006-05,74
2006-06,70
2006-07,76
2006-08,74
2006-09,69
2006-10,67
2006-11,63
2006-12,65
2007-01,64
2007-02,65
2007-03,66
2007-04,67
2007-05,70
2007-06,72
2007-07,73
2007-08,72
2007-09,76
2007-10,73
2007-11,65
2007-12,63
2008-01,65
2008-02,62
2008-03,68
2008-04,68
2008-05,67
2008-06,67
2008-07,68
2008-08,68
2008-09,65
2008-10,60
2008-11,59
2008-12,62
2009-01,68
2009-02,67
2009-03,65
2009-04,68
2009-05,68
2009-06,68
2009-07,74
2009-08,75
2009-09,69
2009-10,74
2009-11,65
2009-12,65
2010-01,67
2010-02,67
2010-03,69
2010-04,71
2010-05,74
2010-06,71
2010-07,72
2010-08,73
2010-09,71
2010-10,69
2010-11,63
2010-12,63
2011-01,65
2011-02,69
2011-03,67
2011-04,67
2011-05,69
2011-06,68
2011-07,74
2011-08,74
2011-09,76
2011-10,71
2011-11,67
2011-12,70
2012-01,67
2012-02,70
2012-03,71
2012-04,71
2012-05,72
2012-06,71
2012-07,72
2012-08,73
2012-09,72
2012-10,66
2012-11,64
2012-12,68
2013-01,72
2013-02,83
2013-03,75
2013-04,72
2013-05,76
2013-06,76
2013-07,77
2013-08,81
2013-09,89
2013-10,87
2013-11,80
2013-12,74
2014-01,74
2014-02,75
2014-03,78
2014-04,81
2014-05,78
2014-06,80
2014-07,81
2014-08,84
2014-09,86
2014-10,78
2014-11,76
2014-12,77
2015-01,79
2015-02,81
2015-03,80
2015-04,81
2015-05,83
2015-06,88
2015-07,86
2015-08,87
2015-09,88
2015-10,82
2015-11,81
2015-12,79
2016-01,85
2016-02,86
2016-03,85
2016-04,88
2016-05,91
2016-06,88
2016-07,91
2016-08,94
2016-09,87
2016-10,88
2016-11,82
2016-12,86
2017-01,85
2017-02,86
2017-03,87
2017-04,92
2017-05,91
2017-06,90
2017-07,96
2017-08,100
2017-09,98
2017-10,92
2017-11,86
2017-12,90
2018-01,91
2018-02,85
2018-03,89
2018-04,88
2018-05,93
2018-06,90
2018-07,93
2018-08,95
2018-09,89
2018-10,84
2018-11,84
