Category: All categories

Month,mortgage: (United States)
2004-01,85
2004-02,81
2004-03,97
2004-04,88
2004-05,82
2004-06,84
2004-07,82
2004-08,79
2004-09,73
2004-10,67
2004-11,65
2004-12,62
2005-01,77
2005-02,80
2005-03,83
2005-04,81
2005-05,78
2005-06,90
2005-07,85
2005-08,86
2005-09,71
2005-10,69
2005-11,63
2005-12,58
2006-01,74
2006-02,73
2006-03,77
2006-04,74
2006-05,72
2006-06,75
2006-07,74
2006-08,75
2006-09,67
2006-10,66
2006-11,60
2006-12,59
2007-01,78
2007-02,75
2007-03,81
2007-04,77
2007-05,71
2007-06,75
2007-07,80
2007-08,86
2007-09,69
2007-10,63
2007-11,57
2007-12,56
2008-01,93
2008-02,83
2008-03,83
2008-04,70
2008-05,61
2008-06,62
2008-07,62
2008-08,53
2008-09,66
2008-10,60
2008-11,52
2008-12,93
2009-01,100
2009-02,89
2009-03,98
2009-04,84
2009-05,69
2009-06,73
2009-07,67
2009-08,61
2009-09,57
2009-10,54
2009-11,48
2009-12,48
2010-01,57
2010-02,56
2010-03,55
2010-04,55
2010-05,50
2010-06,54
2010-07,55
2010-08,59
2010-09,49
2010-10,52
2010-11,47
2010-12,41
2011-01,52
2011-02,50
2011-03,49
2011-04,46
2011-05,44
2011-06,49
2011-07,45
2011-08,57
2011-09,53
2011-10,54
2011-11,45
2011-12,42
2012-01,55
2012-02,55
2012-03,54
2012-04,49
2012-05,50
2012-06,53
2012-07,54
2012-08,49
2012-09,49
2012-10,46
2012-11,42
2012-12,39
2013-01,53
2013-02,50
2013-03,48
2013-04,50
2013-05,48
2013-06,52
2013-07,50
2013-08,44
2013-09,42
2013-10,40
2013-11,36
2013-12,33
2014-01,42
2014-02,41
2014-03,41
2014-04,41
2014-05,41
2014-06,41
2014-07,40
2014-08,39
2014-09,36
2014-10,39
2014-11,32
2014-12,32
2015-01,45
2015-02,46
2015-03,45
2015-04,45
2015-05,42
2015-06,46
2015-07,45
2015-08,44
2015-09,39
2015-10,38
2015-11,35
2015-12,34
2016-01,39
2016-02,43
2016-03,41
2016-04,43
2016-05,40
2016-06,42
2016-07,43
2016-08,41
2016-09,37
2016-10,35
2016-11,36
2016-12,33
2017-01,42
2017-02,41
2017-03,42
2017-04,41
2017-05,39
2017-06,40
2017-07,41
2017-08,40
2017-09,38
2017-10,38
2017-11,34
2017-12,35
2018-01,42
2018-02,45
2018-03,43
2018-04,44
2018-05,40
2018-06,41
2018-07,39
2018-08,38
2018-09,35
2018-10,35
2018-11,31
