Category: All categories

Month,real estate: (United States)
2004-01,88
2004-02,85
2004-03,91
2004-04,90
2004-05,88
2004-06,94
2004-07,99
2004-08,94
2004-09,81
2004-10,74
2004-11,71
2004-12,68
2005-01,89
2005-02,89
2005-03,92
2005-04,93
2005-05,93
2005-06,98
2005-07,100
2005-08,98
2005-09,81
2005-10,76
2005-11,70
2005-12,63
2006-01,82
2006-02,81
2006-03,84
2006-04,83
2006-05,82
2006-06,84
2006-07,90
2006-08,83
2006-09,71
2006-10,69
2006-11,62
2006-12,59
2007-01,79
2007-02,78
2007-03,77
2007-04,77
2007-05,73
2007-06,78
2007-07,81
2007-08,75
2007-09,64
2007-10,61
2007-11,52
2007-12,50
2008-01,66
2008-02,62
2008-03,64
2008-04,62
2008-05,59
2008-06,60
2008-07,62
2008-08,55
2008-09,53
2008-10,46
2008-11,43
2008-12,42
2009-01,53
2009-02,54
2009-03,54
2009-04,52
2009-05,51
2009-06,54
2009-07,57
2009-08,55
2009-09,48
2009-10,46
2009-11,42
2009-12,39
2010-01,50
2010-02,46
2010-03,49
2010-04,48
2010-05,46
2010-06,46
2010-07,43
2010-08,41
2010-09,36
2010-10,33
2010-11,31
2010-12,29
2011-01,42
2011-02,41
2011-03,41
2011-04,41
2011-05,40
2011-06,41
2011-07,41
2011-08,38
2011-09,35
2011-10,33
2011-11,29
2011-12,29
2012-01,36
2012-02,36
2012-03,37
2012-04,36
2012-05,35
2012-06,36
2012-07,36
2012-08,34
2012-09,31
2012-10,28
2012-11,26
2012-12,25
2013-01,33
2013-02,33
2013-03,34
2013-04,34
2013-05,33
2013-06,34
2013-07,35
2013-08,33
2013-09,30
2013-10,28
2013-11,26
2013-12,24
2014-01,31
2014-02,30
2014-03,32
2014-04,32
2014-05,32
2014-06,33
2014-07,33
2014-08,31
2014-09,29
2014-10,26
2014-11,24
2014-12,23
2015-01,29
2015-02,28
2015-03,30
2015-04,30
2015-05,29
2015-06,31
2015-07,32
2015-08,31
2015-09,27
2015-10,25
2015-11,23
2015-12,22
2016-01,27
2016-02,30
2016-03,30
2016-04,30
2016-05,29
2016-06,30
2016-07,30
2016-08,29
2016-09,26
2016-10,24
2016-11,23
2016-12,22
2017-01,27
2017-02,28
2017-03,28
2017-04,28
2017-05,28
2017-06,29
2017-07,31
2017-08,29
2017-09,26
2017-10,25
2017-11,23
2017-12,23
2018-01,27
2018-02,27
2018-03,28
2018-04,29
2018-05,28
2018-06,29
2018-07,30
2018-08,29
2018-09,25
2018-10,24
2018-11,21
