Category: All categories

Month,stock market: (United States)
2004-01,29
2004-02,29
2004-03,28
2004-04,28
2004-05,24
2004-06,20
2004-07,18
2004-08,17
2004-09,19
2004-10,25
2004-11,27
2004-12,28
2005-01,26
2005-02,26
2005-03,26
2005-04,25
2005-05,21
2005-06,19
2005-07,18
2005-08,17
2005-09,19
2005-10,21
2005-11,25
2005-12,22
2006-01,26
2006-02,26
2006-03,25
2006-04,24
2006-05,24
2006-06,20
2006-07,18
2006-08,15
2006-09,19
2006-10,24
2006-11,22
2006-12,20
2007-01,23
2007-02,31
2007-03,32
2007-04,24
2007-05,21
2007-06,19
2007-07,23
2007-08,29
2007-09,23
2007-10,28
2007-11,31
2007-12,24
2008-01,39
2008-02,28
2008-03,32
2008-04,25
2008-05,21
2008-06,20
2008-07,22
2008-08,16
2008-09,62
2008-10,100
2008-11,51
2008-12,34
2009-01,30
2009-02,35
2009-03,46
2009-04,33
2009-05,25
2009-06,21
2009-07,20
2009-08,20
2009-09,22
2009-10,25
2009-11,24
2009-12,21
2010-01,22
2010-02,23
2010-03,23
2010-04,24
2010-05,32
2010-06,20
2010-07,17
2010-08,16
2010-09,18
2010-10,22
2010-11,23
2010-12,21
2011-01,24
2011-02,26
2011-03,25
2011-04,23
2011-05,19
2011-06,17
2011-07,18
2011-08,55
2011-09,26
2011-10,27
2011-11,25
2011-12,22
2012-01,21
2012-02,24
2012-03,22
2012-04,20
2012-05,20
2012-06,17
2012-07,14
2012-08,14
2012-09,17
2012-10,21
2012-11,28
2012-12,19
2013-01,20
2013-02,22
2013-03,23
2013-04,21
2013-05,21
2013-06,19
2013-07,17
2013-08,17
2013-09,24
2013-10,31
2013-11,25
2013-12,22
2014-01,26
2014-02,28
2014-03,25
2014-04,26
2014-05,19
2014-06,16
2014-07,19
2014-08,18
2014-09,21
2014-10,33
2014-11,25
2014-12,29
2015-01,28
2015-02,27
2015-03,26
2015-04,26
2015-05,21
2015-06,22
2015-07,36
2015-08,64
2015-09,42
2015-10,30
2015-11,27
2015-12,27
2016-01,54
2016-02,39
2016-03,31
2016-04,28
2016-05,24
2016-06,36
2016-07,24
2016-08,20
2016-09,24
2016-10,23
2016-11,59
2016-12,29
2017-01,31
2017-02,32
2017-03,34
2017-04,28
2017-05,27
2017-06,25
2017-07,23
2017-08,28
2017-09,24
2017-10,30
2017-11,32
2017-12,35
2018-01,43
2018-02,91
2018-03,49
2018-04,44
2018-05,31
2018-06,32
2018-07,31
2018-08,33
2018-09,31
2018-10,61
2018-11,47
