Category: All categories

Month,student loans: (United States)
2004-01,47
2004-02,37
2004-03,39
2004-04,42
2004-05,46
2004-06,51
2004-07,58
2004-08,62
2004-09,41
2004-10,36
2004-11,38
2004-12,38
2005-01,49
2005-02,37
2005-03,40
2005-04,44
2005-05,47
2005-06,90
2005-07,65
2005-08,64
2005-09,41
2005-10,35
2005-11,37
2005-12,37
2006-01,53
2006-02,41
2006-03,43
2006-04,47
2006-05,52
2006-06,86
2006-07,72
2006-08,69
2006-09,43
2006-10,40
2006-11,39
2006-12,43
2007-01,60
2007-02,56
2007-03,46
2007-04,54
2007-05,55
2007-06,69
2007-07,92
2007-08,100
2007-09,62
2007-10,53
2007-11,54
2007-12,56
2008-01,76
2008-02,56
2008-03,57
2008-04,67
2008-05,63
2008-06,71
2008-07,94
2008-08,90
2008-09,66
2008-10,59
2008-11,51
2008-12,56
2009-01,69
2009-02,56
2009-03,58
2009-04,62
2009-05,58
2009-06,68
2009-07,87
2009-08,89
2009-09,56
2009-10,51
2009-11,48
2009-12,51
2010-01,68
2010-02,56
2010-03,62
2010-04,60
2010-05,54
2010-06,63
2010-07,67
2010-08,67
2010-09,53
2010-10,49
2010-11,49
2010-12,48
2011-01,72
2011-02,60
2011-03,54
2011-04,56
2011-05,56
2011-06,60
2011-07,73
2011-08,85
2011-09,61
2011-10,72
2011-11,60
2011-12,53
2012-01,72
2012-02,63
2012-03,55
2012-04,61
2012-05,57
2012-06,65
2012-07,70
2012-08,74
2012-09,52
2012-10,47
2012-11,44
2012-12,43
2013-01,64
2013-02,56
2013-03,51
2013-04,52
2013-05,52
2013-06,57
2013-07,72
2013-08,73
2013-09,49
2013-10,48
2013-11,41
2013-12,42
2014-01,61
2014-02,58
2014-03,49
2014-04,51
2014-05,50
2014-06,59
2014-07,65
2014-08,64
2014-09,48
2014-10,44
2014-11,42
2014-12,41
2015-01,57
2015-02,53
2015-03,52
2015-04,50
2015-05,46
2015-06,52
2015-07,69
2015-08,64
2015-09,44
2015-10,40
2015-11,44
2015-12,46
2016-01,54
2016-02,48
2016-03,40
2016-04,43
2016-05,46
2016-06,45
2016-07,47
2016-08,52
2016-09,37
2016-10,39
2016-11,37
2016-12,35
2017-01,46
2017-02,42
2017-03,41
2017-04,42
2017-05,43
2017-06,41
2017-07,51
2017-08,51
2017-09,38
2017-10,41
2017-11,37
2017-12,39
2018-01,49
2018-02,49
2018-03,46
2018-04,42
2018-05,41
2018-06,44
2018-07,53
2018-08,54
2018-09,38
2018-10,36
2018-11,33
