Category: All categories

Month,unemployment: (United States)
2004-01,27
2004-02,24
2004-03,23
2004-04,23
2004-05,21
2004-06,21
2004-07,23
2004-08,21
2004-09,21
2004-10,21
2004-11,20
2004-12,19
2005-01,24
2005-02,20
2005-03,20
2005-04,21
2005-05,19
2005-06,20
2005-07,21
2005-08,18
2005-09,20
2005-10,20
2005-11,19
2005-12,19
2006-01,23
2006-02,20
2006-03,19
2006-04,20
2006-05,19
2006-06,20
2006-07,21
2006-08,19
2006-09,18
2006-10,20
2006-11,20
2006-12,21
2007-01,26
2007-02,22
2007-03,21
2007-04,22
2007-05,20
2007-06,20
2007-07,22
2007-08,21
2007-09,21
2007-10,23
2007-11,23
2007-12,24
2008-01,30
2008-02,25
2008-03,25
2008-04,26
2008-05,24
2008-06,30
2008-07,33
2008-08,30
2008-09,36
2008-10,41
2008-11,51
2008-12,60
2009-01,74
2009-02,73
2009-03,73
2009-04,67
2009-05,63
2009-06,67
2009-07,71
2009-08,68
2009-09,66
2009-10,72
2009-11,77
2009-12,72
2010-01,80
2010-02,72
2010-03,75
2010-04,72
2010-05,65
2010-06,82
2010-07,100
2010-08,64
2010-09,56
2010-10,55
2010-11,59
2010-12,75
2011-01,80
2011-02,64
2011-03,57
2011-04,58
2011-05,57
2011-06,58
2011-07,61
2011-08,60
2011-09,57
2011-10,60
2011-11,56
2011-12,60
2012-01,72
2012-02,60
2012-03,54
2012-04,55
2012-05,52
2012-06,52
2012-07,59
2012-08,49
2012-09,53
2012-10,54
2012-11,54
2012-12,57
2013-01,63
2013-02,49
2013-03,44
2013-04,46
2013-05,42
2013-06,43
2013-07,47
2013-08,41
2013-09,44
2013-10,47
2013-11,41
2013-12,52
2014-01,69
2014-02,55
2014-03,52
2014-04,52
2014-05,45
2014-06,38
2014-07,36
2014-08,30
2014-09,29
2014-10,29
2014-11,30
2014-12,32
2015-01,37
2015-02,33
2015-03,30
2015-04,28
2015-05,27
2015-06,28
2015-07,29
2015-08,28
2015-09,26
2015-10,26
2015-11,28
2015-12,28
2016-01,35
2016-02,32
2016-03,27
2016-04,26
2016-05,25
2016-06,26
2016-07,25
2016-08,24
2016-09,22
2016-10,24
2016-11,24
2016-12,26
2017-01,35
2017-02,28
2017-03,25
2017-04,24
2017-05,23
2017-06,23
2017-07,24
2017-08,22
2017-09,22
2017-10,23
2017-11,23
2017-12,26
2018-01,34
2018-02,27
2018-03,22
2018-04,23
2018-05,22
2018-06,22
2018-07,24
2018-08,21
2018-09,20
2018-10,22
2018-11,22
