Category: All categories

Month,value of us dollar: (United States)
2004-01,31
2004-02,42
2004-03,54
2004-04,35
2004-05,53
2004-06,55
2004-07,28
2004-08,51
2004-09,29
2004-10,25
2004-11,56
2004-12,55
2005-01,44
2005-02,46
2005-03,25
2005-04,57
2005-05,25
2005-06,49
2005-07,26
2005-08,39
2005-09,36
2005-10,15
2005-11,19
2005-12,24
2006-01,31
2006-02,33
2006-03,24
2006-04,46
2006-05,36
2006-06,25
2006-07,22
2006-08,36
2006-09,42
2006-10,37
2006-11,33
2006-12,46
2007-01,24
2007-02,39
2007-03,48
2007-04,53
2007-05,38
2007-06,55
2007-07,52
2007-08,23
2007-09,43
2007-10,51
2007-11,100
2007-12,64
2008-01,59
2008-02,53
2008-03,97
2008-04,84
2008-05,76
2008-06,62
2008-07,45
2008-08,49
2008-09,82
2008-10,88
2008-11,62
2008-12,40
2009-01,61
2009-02,57
2009-03,62
2009-04,60
2009-05,44
2009-06,52
2009-07,36
2009-08,41
2009-09,53
2009-10,79
2009-11,77
2009-12,57
2010-01,60
2010-02,59
2010-03,39
2010-04,58
2010-05,63
2010-06,40
2010-07,38
2010-08,31
2010-09,40
2010-10,42
2010-11,57
2010-12,55
2011-01,59
2011-02,69
2011-03,71
2011-04,79
2011-05,67
2011-06,51
2011-07,67
2011-08,86
2011-09,70
2011-10,63
2011-11,55
2011-12,46
2012-01,59
2012-02,58
2012-03,55
2012-04,55
2012-05,44
2012-06,47
2012-07,46
2012-08,43
2012-09,61
2012-10,60
2012-11,49
2012-12,47
2013-01,62
2013-02,48
2013-03,52
2013-04,54
2013-05,47
2013-06,44
2013-07,50
2013-08,45
2013-09,49
2013-10,63
2013-11,42
2013-12,47
2014-01,44
2014-02,47
2014-03,46
2014-04,49
2014-05,47
2014-06,47
2014-07,38
2014-08,47
2014-09,42
2014-10,49
2014-11,36
2014-12,49
2015-01,59
2015-02,48
2015-03,55
2015-04,52
2015-05,44
2015-06,50
2015-07,51
2015-08,44
2015-09,42
2015-10,48
2015-11,44
2015-12,49
2016-01,48
2016-02,55
2016-03,50
2016-04,54
2016-05,42
2016-06,58
2016-07,38
2016-08,30
2016-09,38
2016-10,38
2016-11,68
2016-12,46
2017-01,49
2017-02,49
2017-03,48
2017-04,49
2017-05,44
2017-06,34
2017-07,39
2017-08,33
2017-09,42
2017-10,38
2017-11,49
2017-12,46
2018-01,55
2018-02,50
2018-03,40
2018-04,42
2018-05,40
2018-06,39
2018-07,38
2018-08,42
2018-09,35
2018-10,46
2018-11,41
