Category: All categories

Month,welfare: (United States)
2004-01,73
2004-02,88
2004-03,89
2004-04,92
2004-05,77
2004-06,70
2004-07,70
2004-08,66
2004-09,79
2004-10,85
2004-11,85
2004-12,72
2005-01,70
2005-02,71
2005-03,71
2005-04,78
2005-05,67
2005-06,59
2005-07,54
2005-08,54
2005-09,75
2005-10,74
2005-11,75
2005-12,61
2006-01,63
2006-02,66
2006-03,68
2006-04,69
2006-05,66
2006-06,53
2006-07,54
2006-08,51
2006-09,64
2006-10,63
2006-11,66
2006-12,54
2007-01,55
2007-02,62
2007-03,59
2007-04,63
2007-05,57
2007-06,50
2007-07,50
2007-08,51
2007-09,56
2007-10,66
2007-11,64
2007-12,54
2008-01,57
2008-02,59
2008-03,60
2008-04,67
2008-05,54
2008-06,53
2008-07,52
2008-08,49
2008-09,64
2008-10,71
2008-11,71
2008-12,56
2009-01,58
2009-02,70
2009-03,65
2009-04,65
2009-05,57
2009-06,56
2009-07,56
2009-08,57
2009-09,62
2009-10,65
2009-11,66
2009-12,58
2010-01,60
2010-02,59
2010-03,67
2010-04,65
2010-05,57
2010-06,53
2010-07,53
2010-08,52
2010-09,57
2010-10,61
2010-11,61
2010-12,52
2011-01,62
2011-02,61
2011-03,63
2011-04,65
2011-05,60
2011-06,72
2011-07,67
2011-08,75
2011-09,72
2011-10,69
2011-11,69
2011-12,66
2012-01,71
2012-02,71
2012-03,68
2012-04,69
2012-05,62
2012-06,65
2012-07,66
2012-08,83
2012-09,86
2012-10,81
2012-11,100
2012-12,62
2013-01,74
2013-02,70
2013-03,67
2013-04,78
2013-05,65
2013-06,55
2013-07,61
2013-08,63
2013-09,69
2013-10,84
2013-11,69
2013-12,60
2014-01,66
2014-02,66
2014-03,69
2014-04,67
2014-05,59
2014-06,54
2014-07,57
2014-08,56
2014-09,67
2014-10,64
2014-11,69
2014-12,61
2015-01,61
2015-02,61
2015-03,62
2015-04,70
2015-05,61
2015-06,59
2015-07,64
2015-08,64
2015-09,70
2015-10,66
2015-11,67
2015-12,62
2016-01,64
2016-02,77
2016-03,72
2016-04,69
2016-05,61
2016-06,56
2016-07,54
2016-08,57
2016-09,64
2016-10,63
2016-11,77
2016-12,58
2017-01,71
2017-02,77
2017-03,66
2017-04,58
2017-05,57
2017-06,56
2017-07,54
2017-08,55
2017-09,57
2017-10,60
2017-11,58
2017-12,56
2018-01,66
2018-02,62
2018-03,56
2018-04,61
2018-05,54
2018-06,52
2018-07,51
2018-08,53
2018-09,54
2018-10,60
2018-11,55
